Time,X,Y
1.563,37.530337,-0.307561
1.610,0.537907,0.015126
1.657,0.537907,0.015126
1.704,0.559641,0.012605
1.750,0.559641,0.012605
1.797,0.559641,0.012605
1.860,0.559641,0.012605
1.907,0.537907,0.015126
1.954,0.537907,0.015126
2.125,0.968957,0.020626
2.188,1.486942,0.016043
2.282,1.465208,0.018564
2.344,1.961459,0.016501
2.407,2.457710,0.014438
2.454,38.716630,-0.306415
2.563,39.040823,-0.316270
2.766,1.704278,-0.009167
2.813,1.704278,-0.009167
2.922,1.273228,-0.014668
2.969,0.798710,-0.015126
3.063,0.324193,-0.015584
3.125,0.324193,-0.015584
3.219,1.316695,-0.019710
3.375,1.316695,-0.019710
3.422,1.316695,-0.019710
3.469,1.079436,-0.019939
3.625,0.798710,-0.015126
3.829,0.776977,-0.012605
3.891,0.755243,-0.010084
4.047,0.237259,-0.005500
4.094,0.193791,-0.000458
4.157,35.912993,-0.314207
4.219,0.172058,0.002063
4.266,-0.324193,0.004125
4.313,-0.280726,-0.000917
4.438,-0.755243,-0.001375
4.579,-0.755243,-0.001375
4.797,-0.798710,0.003667
4.844,-0.517985,-0.001146
4.875,-0.280726,-0.000917
4.938,0.193791,-0.000458
4.985,0.668309,0.000000
5.032,1.142826,0.000458
5.079,1.142826,0.000458
5.125,1.617343,0.000917
5.172,1.617343,0.000917
5.219,2.091861,0.001375
5.266,2.566378,0.001833
5.313,2.566378,0.001833
5.360,2.566378,0.001833
5.422,3.040895,0.002292
5.469,3.040895,0.002292
5.516,3.515413,0.002750
5.563,3.515413,0.002750
5.610,3.515413,0.002750
5.672,3.515413,0.002750
5.719,3.515413,0.002750
5.766,3.989930,0.003209
5.813,3.989930,0.003209
5.860,3.989930,0.003209
5.907,3.989930,0.003209
5.954,4.464447,0.003667
6.000,4.464447,0.003667
6.047,4.464447,0.003667
6.094,4.938965,0.004125
6.157,4.938965,0.004125
6.204,4.938965,0.004125
6.250,5.413482,0.004584
6.297,5.413482,0.004584
6.344,5.413482,0.004584
6.391,5.435216,0.002063
6.454,5.435216,0.002063
6.500,5.887999,0.005042
6.547,5.887999,0.005042
6.594,6.384250,0.002979
6.641,6.880501,0.000917
6.688,6.880501,0.000917
6.750,6.858768,0.003438
6.797,6.837034,0.005959
6.844,6.858768,0.003438
6.891,7.829536,0.001833
6.954,7.333285,0.003896
7.016,8.304053,0.002292
7.063,8.304053,0.002292
7.110,7.807802,0.004354
7.157,8.778571,0.002750
7.219,8.282320,0.004813
7.266,9.253088,0.003209
7.313,8.756837,0.005271
7.360,9.727605,0.003667
7.407,9.727605,0.003667
7.469,9.727605,0.003667
7.516,10.202123,0.004125
7.563,9.705872,0.006188
7.610,10.676640,0.004584
7.657,10.676640,0.004584
7.704,11.151157,0.005042
7.750,11.151157,0.005042
7.797,11.151157,0.005042
7.844,11.151157,0.005042
7.891,11.625675,0.005500
7.954,11.625675,0.005500
8.000,11.862933,0.005730
8.047,12.100192,0.005959
8.094,12.100192,0.005959
8.141,12.574709,0.006417
8.204,12.574709,0.006417
8.266,13.049227,0.006875
8.313,13.049227,0.006875
8.360,13.523744,0.007334
8.407,13.523744,0.007334
8.469,13.998261,0.007792
8.532,13.998261,0.007792
8.579,13.998261,0.007792
8.625,14.472779,0.008251
8.688,14.472779,0.008251
8.735,14.947296,0.008709
8.782,14.969030,0.006188
8.829,15.443547,0.006646
8.875,15.443547,0.006646
8.922,16.414315,0.005042
8.985,16.414315,0.005042
9.032,16.888833,0.005500
9.079,16.392582,0.007563
9.125,17.363350,0.005959
9.172,17.363350,0.005959
9.235,17.837867,0.006417
9.297,18.312385,0.006875
9.344,18.312385,0.006875
9.391,18.786902,0.007334
9.454,18.786902,0.007334
9.516,19.261419,0.007792
9.563,19.261419,0.007792
9.610,19.261419,0.007792
9.657,19.735937,0.008251
9.719,20.210454,0.008709
9.782,20.684971,0.009167
9.829,20.684971,0.009167
9.875,21.181222,0.007105
9.922,21.159489,0.009626
9.985,21.655739,0.007563
10.032,22.130257,0.008021
10.079,22.108523,0.010542
10.125,22.604774,0.008480
10.172,22.583041,0.011001
10.235,23.575542,0.006875
10.297,24.050060,0.007334
10.344,24.050060,0.007334
10.391,24.524577,0.007792
10.438,24.524577,0.007792
10.500,24.999094,0.008251
10.563,24.999094,0.008251
10.610,25.473612,0.008709
10.657,25.948129,0.009167
10.719,25.948129,0.009167
10.766,25.948129,0.009167
10.813,26.422646,0.009626
10.860,26.918897,0.007563
10.907,26.897164,0.010084
10.954,27.371681,0.010542
11.016,27.393415,0.008021
11.063,27.867932,0.008480
11.110,28.601442,0.006646
11.157,28.838700,0.006875
11.219,29.313218,0.007334
11.282,29.787735,0.007792
11.329,30.024994,0.008021
11.375,30.262252,0.008251
11.422,30.736770,0.008709
11.469,30.736770,0.008709
11.532,31.211287,0.009167
11.579,31.211287,0.009167
11.625,31.685804,0.009626
11.672,31.685804,0.009626
11.719,32.160322,0.010084
11.766,32.160322,0.010084
11.813,32.634839,0.010542
11.860,33.109356,0.011001
11.907,33.109356,0.011001
11.954,33.583874,0.011459
12.016,33.583874,0.011459
12.063,34.058391,0.011917
12.110,34.080125,0.009396
12.157,34.554642,0.009855
12.204,35.050893,0.007792
12.266,35.999928,0.008709
12.329,35.999928,0.008709
12.375,36.474445,0.009167
12.422,36.948962,0.009626
12.469,36.948962,0.009626
12.532,37.423480,0.010084
12.594,37.897997,0.010542
12.641,38.372514,0.011001
12.688,38.868765,0.008938
12.750,38.868765,0.008938
12.813,39.839533,0.007334
12.860,40.314051,0.007792
12.907,40.314051,0.007792
12.954,40.788568,0.008251
13.016,41.263085,0.008709
13.063,41.263085,0.008709
13.110,41.737603,0.009167
13.157,42.212120,0.009626
13.204,42.730105,0.005042
13.266,43.204622,0.005500
13.329,43.679139,0.005959
13.375,44.153657,0.006417
13.422,44.628174,0.006875
13.469,44.628174,0.006875
13.516,45.102691,0.007334
13.579,45.598942,0.005271
13.625,46.073460,0.005730
13.672,46.547977,0.006188
13.719,47.022494,0.006646
13.782,47.518745,0.004584
13.844,47.993263,0.005042
13.891,48.467780,0.005500
13.938,48.942297,0.005959
13.985,49.416815,0.006417
14.047,49.416815,0.006417
14.110,49.891332,0.006875
14.157,50.365849,0.007334
14.204,50.840367,0.007792
14.250,51.358351,0.003209
14.297,51.336618,0.005730
14.360,52.307386,0.004125
14.407,52.307386,0.004125
14.454,53.256420,0.005042
14.500,53.256420,0.005042
14.547,53.730938,0.005500
14.610,53.752671,0.002979
14.657,54.723440,0.001375
14.704,55.197957,0.001833
14.750,55.197957,0.001833
14.797,55.672474,0.002292
14.860,56.146992,0.002750
14.907,56.621509,0.003209
14.954,57.096026,0.003667
15.000,57.096026,0.003667
15.047,57.570544,0.004125
15.110,58.045061,0.004584
15.157,58.563046,-0.000000
15.204,59.037563,0.000458
15.250,59.512080,0.000917
15.313,59.986598,0.001375
15.375,60.461115,0.001833
15.422,60.461115,0.001833
15.469,60.935632,0.002292
15.516,60.935632,0.002292
15.579,61.431883,0.000229
15.641,62.402652,-0.001375
15.688,62.877169,-0.000917
15.735,63.351686,-0.000458
15.797,63.826203,-0.000000
15.860,63.826203,-0.000000
15.907,64.300721,0.000458
15.954,64.775238,0.000917
16.000,65.271489,-0.001146
16.063,66.242257,-0.002750
16.110,66.716775,-0.002292
16.157,66.716775,-0.002292
16.204,67.191292,-0.001833
16.250,67.946535,-0.006188
16.313,68.658311,-0.005500
16.375,69.132829,-0.005042
16.422,69.607346,-0.004584
16.469,70.081863,-0.004125
16.516,70.556381,-0.003667
16.579,71.030898,-0.003209
16.641,71.527149,-0.005271
16.688,71.527149,-0.005271
16.735,72.972435,-0.006417
16.797,73.446952,-0.005959
16.844,73.921469,-0.005500
16.891,73.921469,-0.005500
16.938,74.395987,-0.005042
16.985,74.870504,-0.004584
17.032,75.841272,-0.006188
17.094,75.841272,-0.006188
17.141,76.768573,-0.002750
17.188,76.790307,-0.005271
17.235,78.235592,-0.006417
17.282,78.472851,-0.006188
17.344,79.184627,-0.005500
17.407,79.162893,-0.002979
17.454,80.133662,-0.004584
17.500,80.111928,-0.002063
17.547,81.082696,-0.003667
17.594,81.319955,-0.003438
17.657,82.031731,-0.002750
17.704,82.506248,-0.002292
17.750,82.980766,-0.001833
17.797,83.455283,-0.001375
17.860,83.692542,-0.001146
17.907,83.908067,0.001604
17.954,84.641576,-0.000229
18.000,85.353352,0.000458
18.047,84.857101,0.002521
18.110,86.302387,0.001375
18.172,86.776904,0.001833
18.219,86.776904,0.001833
18.266,87.251422,0.002292
18.313,87.725939,0.002750
18.375,88.674974,0.003667
18.438,89.149491,0.004125
18.485,89.149491,0.004125
18.532,89.624008,0.004584
18.594,89.645742,0.002063
18.657,91.091028,0.000917
18.704,91.565545,0.001375
18.750,91.565545,0.001375
18.797,92.040062,0.001833
18.860,92.536313,-0.000229
18.922,93.010831,0.000229
18.969,93.485348,0.000688
19.016,93.959865,0.001146
19.063,94.930634,-0.000458
19.125,94.930634,-0.000458
19.172,95.879668,0.000458
19.219,96.116927,0.000688
19.266,96.354186,0.000917
19.313,96.828703,0.001375
19.360,97.303220,0.001833
19.422,98.014996,0.002521
19.469,98.252255,0.002750
19.516,98.726772,0.003209
19.563,99.697540,0.001604
19.625,99.675807,0.004125
19.688,99.654073,0.006646
19.735,99.869598,0.009396
19.782,99.610606,0.011688
19.829,99.114355,0.013751
19.891,99.114355,0.013751
19.938,98.618104,0.015813
19.985,98.596370,0.018334
20.032,98.121853,0.017876
20.079,97.862861,0.020168
20.125,97.603869,0.022460
20.188,97.129351,0.022001
20.235,96.913826,0.019251
20.282,97.172818,0.016959
20.329,96.223784,0.016043
20.375,95.986525,0.015813
20.438,96.029992,0.010772
20.485,95.533741,0.012834
20.532,95.274749,0.015126
20.579,95.274749,0.015126
20.641,95.253016,0.017647
20.704,95.512008,0.015355
20.750,95.512008,0.015355
20.797,94.778498,0.017189
20.844,95.274749,0.015126
20.891,95.274749,0.015126
20.954,95.037490,0.014897
21.000,94.325714,0.014209
21.047,94.325714,0.014209
21.094,94.347448,0.011688
21.157,94.325714,0.014209
21.219,94.325714,0.014209
21.266,94.325714,0.014209
21.313,94.325714,0.014209
21.360,94.325714,0.014209
21.407,94.325714,0.014209
21.469,94.325714,0.014209
21.516,94.325714,0.014209
21.563,94.325714,0.014209
21.610,94.325714,0.014209
21.657,94.325714,0.014209
21.704,94.303981,0.016730
21.750,94.303981,0.016730
21.797,94.303981,0.016730
21.844,94.303981,0.016730
21.891,94.303981,0.016730
21.938,94.303981,0.016730
21.985,94.325714,0.014209
22.032,94.303981,0.016730
22.079,94.303981,0.016730
22.141,94.303981,0.016730
22.188,94.282247,0.019251
22.235,94.303981,0.016730
22.282,94.303981,0.016730
22.329,94.800232,0.014668
22.375,94.303981,0.016730
22.438,94.778498,0.017189
22.485,94.778498,0.017189
22.532,94.756765,0.019710
22.579,94.756765,0.019710
22.625,94.756765,0.019710
22.688,94.756765,0.019710
22.735,95.231282,0.020168
22.782,95.231282,0.020168
22.829,95.231282,0.020168
22.875,95.231282,0.020168
22.938,95.231282,0.020168
22.985,95.231282,0.020168
23.032,95.253016,0.017647
23.079,95.253016,0.017647
23.125,95.749266,0.015584
23.172,95.749266,0.015584
23.219,95.749266,0.015584
23.266,96.223784,0.016043
23.313,96.223784,0.016043
23.360,96.223784,0.016043
23.391,96.223784,0.016043
23.438,96.223784,0.016043
23.485,96.223784,0.016043
23.532,96.202050,0.018564
23.579,96.223784,0.016043
23.625,96.698301,0.016501
23.688,96.461042,0.016272
23.735,96.698301,0.016501
23.782,96.439309,0.018793
23.829,96.676568,0.019022
23.875,96.676568,0.019022
23.907,96.676568,0.019022
23.954,97.172818,0.016959
24.000,97.410077,0.017189
24.047,97.172818,0.016959
24.094,97.647336,0.017418
24.141,97.884594,0.017647
24.204,97.884594,0.017647
24.250,98.121853,0.017876
24.297,98.121853,0.017876
24.344,98.121853,0.017876
24.391,98.380845,0.015584
24.454,98.380845,0.015584
24.500,98.877096,0.013522
24.547,98.877096,0.013522
24.594,98.639838,0.013292
24.641,98.898830,0.011001
24.704,98.898830,0.011001
24.766,98.920564,0.008480
24.813,99.416815,0.006417
24.860,99.934799,0.001833
24.907,99.956533,-0.000688
24.969,99.956533,-0.000688
25.016,100.193791,-0.000458
25.063,100.646575,0.002521
25.110,100.862100,0.005271
25.157,101.077625,0.008021
25.219,101.055892,0.010542
25.282,101.530409,0.011001
25.329,101.508675,0.013522
25.375,101.508675,0.013522
